Frequency [D/H],Observation time UTC,Data Source (rainfall),Rainfall [mm],PERIOD [hrs],Deficit [mm],Runoff [mm],Data source (water balance)
S,2019-09-07T12:00:00Z,S,0,6,,,
S,2019-09-07T18:00:00Z,S,7,6,,,
S,2019-09-08T00:00:00Z,S,0,6,,,
S,2019-09-08T06:00:00Z,S,4,6,,,
S,2019-09-08T12:00:00Z,S,0.4,6,,,
S,2019-09-08T18:00:00Z,S,8,6,,,
S,2019-09-09T00:00:00Z,S,2,6,,,
S,2019-09-09T06:00:00Z,S,5,6,,,
S,2019-09-09T12:00:00Z,S,12,6,,,
S,2019-09-09T18:00:00Z,S,13,6,,,
S,2019-09-10T00:00:00Z,S,0.8,6,,,
S,2019-09-10T06:00:00Z,S,0.7,6,,,
S,2019-09-10T12:00:00Z,S,0.4,6,,,
S,2019-09-10T18:00:00Z,S,0,6,,,
S,2019-09-11T00:00:00Z,S,0,6,,,
S,2019-09-11T06:00:00Z,S,0.2,6,,,
S,2019-09-11T12:00:00Z,S,0.7,6,,,
S,2019-09-11T18:00:00Z,S,0,6,,,
S,2019-09-12T00:00:00Z,S,0,6,,,
S,2019-09-12T06:00:00Z,S,0,6,,,
S,2019-09-12T12:00:00Z,S,0,6,,,
S,2019-09-12T18:00:00Z,S,0.1,6,,,
S,2019-09-13T00:00:00Z,S,0,6,,,
S,2019-09-13T06:00:00Z,S,0,6,,,
S,2019-09-13T12:00:00Z,S,0.2,6,,,
